Date / Time,CPU Usage %,Temperature C
2017-05-01 16:31:55,11.8,59.1
2017-05-01 14:58:57,9.3,52.1
2017-05-01 15:05:04,10,52.1
2017-05-01 15:22:40,12.5,51.5
2017-05-01 15:22:45,5.1,50.5
2017-05-01 15:22:52,1.9,51.5
2017-05-01 15:22:58,2.8,51
2017-05-01 15:23:04,3.5,51
2017-05-01 15:23:10,2.8,50.5
2017-05-01 15:23:15,1.4,50.5
2017-05-01 15:23:21,4.8,49.9
2017-05-01 15:23:26,1.1,50.5
2017-05-01 15:23:33,3.5,50.5
2017-05-01 15:23:39,1.7,49.9
2017-05-01 15:23:45,4.2,50.5
2017-05-01 15:23:51,2.1,50.5
2017-05-01 15:23:58,5,51.5
2017-05-01 15:24:04,3.7,52.1
2017-05-01 15:24:10,1.2,50.5
2017-05-01 15:24:16,3,51
2017-05-01 15:24:22,3.7,50.5
2017-05-01 15:24:28,3.3,51.5
2017-05-01 15:24:34,1.3,50.5
2017-05-01 15:24:40,5,51
2017-05-01 15:24:46,1.3,50.5
2017-05-01 15:24:52,2.8,51
2017-05-01 15:24:58,1.7,50.5
2017-05-01 15:25:04,3.5,50.5
2017-05-01 15:25:09,1.7,50.5
2017-05-01 15:25:15,2.1,50.5
2017-05-01 15:25:21,2.2,50.5
2017-05-01 15:25:27,3.7,49.9
2017-05-01 15:25:32,3,51.5
2017-05-01 15:25:38,0.9,50.5
2017-05-01 15:25:44,6.6,50.5
2017-05-01 15:25:49,1.1,50.5
2017-05-01 15:25:56,3.6,50.5
2017-05-01 15:26:01,3.3,50.5
2017-05-01 15:26:07,4.1,50.5
2017-05-01 15:26:13,1.4,50.5
2017-05-01 15:26:18,3.8,51
2017-05-01 15:26:24,1.2,50.5
2017-05-01 15:26:30,5.8,51
2017-05-01 15:26:36,0.6,50.5
2017-05-01 15:26:41,6.2,51
2017-05-01 15:26:47,1,50.5
2017-05-01 15:26:53,3.6,50.5
2017-05-01 15:27:00,1,49.9
2017-05-01 15:27:06,6.3,51.5
2017-05-01 15:27:11,0.8,50.5
2017-05-01 15:27:17,4.1,51.5
2017-05-01 15:27:23,1,50.5
2017-05-01 15:27:29,5.8,51.5
2017-05-01 15:27:36,1,50.5
2017-05-01 15:27:41,4.3,51.5
2017-05-01 15:27:48,1.6,50.5
2017-05-01 15:27:54,6,50.5
2017-05-01 15:28:00,1.1,50.5
2017-05-01 15:28:06,4.7,50.5
