Date / Time,CPU Usage %,Temperature C
2017-05-07 14:24:20,13.1,46.7
2017-05-07 14:24:25,0.5,45.1
2017-05-07 14:24:31,5.4,46.2
2017-05-07 14:24:36,2.7,45.6
2017-05-07 14:24:42,10.7,47.2
2017-05-07 14:24:48,30.4,50.5
2017-05-07 14:24:54,63,54.2
2017-05-07 14:24:59,38.2,53.7
2017-05-07 14:25:04,23.6,52.6
2017-05-07 14:25:10,24.7,52.1
2017-05-07 14:25:15,15,51.5
2017-05-07 14:25:21,40.6,53.7
2017-05-07 14:25:27,55.2,55.8
2017-05-07 14:25:32,39.8,55.8
2017-05-07 14:25:37,36.1,56.4
2017-05-07 14:25:43,41.6,57.5
2017-05-07 14:25:48,38.3,57.5
2017-05-07 14:25:54,41.1,58
2017-05-07 14:26:00,47.9,59.1
2017-05-07 14:26:06,40.6,59.1
2017-05-07 14:26:11,37.7,58.5
2017-05-07 14:26:17,39.1,59.1
2017-05-07 14:26:22,41.3,59.1
2017-05-07 14:26:28,39.8,59.1
2017-05-07 14:26:33,40.7,59.1
2017-05-07 14:26:39,29.1,58
2017-05-07 14:26:44,42,59.1
2017-05-07 14:26:50,36.2,59.1
2017-05-07 14:26:56,41.7,59.6
2017-05-07 14:27:01,35.9,59.6
2017-05-07 14:27:07,39,60.1
2017-05-07 14:27:12,36.4,60.1
2017-05-07 14:27:18,59.9,62.3
2017-05-07 14:27:24,59.9,63.4
2017-05-07 14:27:29,49.5,62.8
2017-05-07 14:27:35,47.2,63.4
2017-05-07 14:27:40,50.9,63.4
2017-05-07 14:27:46,51.3,63.4
2017-05-07 14:27:51,47.9,63.9
2017-05-07 14:27:57,45.2,63.9
2017-05-07 14:28:03,44.2,64.5
2017-05-07 14:28:09,51.9,64.5
2017-05-07 14:28:14,45.9,64.5
2017-05-07 14:28:20,53.1,66.1
2017-05-07 14:28:26,55.4,66.6
2017-05-07 14:28:31,48.8,65.5
2017-05-07 14:28:37,40.6,65.5
2017-05-07 14:28:42,49,66.1
2017-05-07 14:28:48,47.5,65.5
2017-05-07 14:28:54,49,66.6
2017-05-07 14:29:00,47.6,66.6
2017-05-07 14:29:05,49.8,67.1
2017-05-07 14:29:11,44.2,66.6
2017-05-07 14:29:17,47.3,66.6
2017-05-07 14:29:23,45.8,66.6
2017-05-07 14:29:29,47.1,67.7
2017-05-07 14:29:34,46,67.1
2017-05-07 14:29:40,45.7,67.1
2017-05-07 14:29:45,46.2,67.1
2017-05-07 14:29:51,47.4,67.1
2017-05-07 14:29:57,47.8,67.7
2017-05-07 14:30:02,44.3,67.7
2017-05-07 14:30:07,51.2,67.7
2017-05-07 14:30:13,44,67.7
2017-05-07 14:30:19,50.5,68.8
2017-05-07 14:30:24,45.9,68.8
2017-05-07 14:30:30,48.1,69.3
2017-05-07 14:30:35,45.8,68.2
2017-05-07 14:30:41,46.9,68.2
2017-05-07 14:30:46,49.2,69.8
2017-05-07 14:30:52,51.4,68.8
2017-05-07 14:30:57,50,69.3
2017-05-07 14:31:02,41.4,68.8
2017-05-07 14:31:08,46.9,69.3
2017-05-07 14:31:14,45,68.8
2017-05-07 14:31:19,47.7,69.8
2017-05-07 14:31:25,47.5,69.8
2017-05-07 14:31:31,47.1,69.8
2017-05-07 14:31:36,43.6,69.8
2017-05-07 14:31:42,49.1,69.8
2017-05-07 14:31:47,42.4,69.3
2017-05-07 14:31:53,48.5,70.9
2017-05-07 14:31:58,75.6,72.5
2017-05-07 14:32:05,63.1,73.1
2017-05-07 14:32:10,48.6,71.4
2017-05-07 14:32:16,45.3,70.9
2017-05-07 14:32:21,47.9,70.9
2017-05-07 14:32:27,45.9,70.9
2017-05-07 14:32:32,44.9,70.9
2017-05-07 14:32:38,39,70.9
2017-05-07 14:32:43,49.9,70.9
2017-05-07 14:32:49,47.1,71.4
2017-05-07 14:32:55,49.9,70.9
2017-05-07 14:33:00,45.2,70.9
2017-05-07 14:33:06,47.6,71.4
2017-05-07 14:33:11,45,71.4
2017-05-07 14:33:17,46.3,70.9
2017-05-07 14:33:22,44.2,71.4
2017-05-07 14:33:28,48.5,72
2017-05-07 14:33:34,47.9,70.9
2017-05-07 14:33:39,45.1,71.4
2017-05-07 14:33:45,47,71.4
2017-05-07 14:33:50,45.6,71.4
2017-05-07 14:33:56,47.7,71.4
2017-05-07 14:34:02,53.9,73.1
2017-05-07 14:34:07,48.3,72
2017-05-07 14:34:13,45.1,72
2017-05-07 14:34:19,49.8,72
2017-05-07 14:34:24,47.9,73.1
2017-05-07 14:34:29,47.9,73.1
2017-05-07 14:34:35,44.5,72
2017-05-07 14:34:40,44.2,73.1
2017-05-07 14:34:46,45.8,72
2017-05-07 14:34:51,44.7,72
2017-05-07 14:34:57,48.4,72.5
2017-05-07 14:35:02,47.9,72.5
2017-05-07 14:35:08,47.7,73.1
2017-05-07 14:35:14,44.8,72.5
2017-05-07 14:35:19,47,72
2017-05-07 14:35:25,44.9,72
2017-05-07 14:35:30,46.9,73.1
2017-05-07 14:35:36,44.1,73.1
2017-05-07 14:35:41,48.5,73.1
2017-05-07 14:35:47,44.3,73.1
2017-05-07 14:35:52,48.3,72.5
2017-05-07 14:35:58,47.2,73.1
2017-05-07 14:36:03,44,73.1
2017-05-07 14:36:09,47.2,73.1
2017-05-07 14:36:14,47.2,73.6
2017-05-07 14:36:20,49.9,73.1
2017-05-07 14:36:25,45.2,73.1
2017-05-07 14:36:31,49.5,73.6
2017-05-07 14:36:36,42,73.1
2017-05-07 14:36:42,49,73.1
2017-05-07 14:36:47,44,73.6
2017-05-07 14:36:52,45.7,73.1
2017-05-07 14:36:58,46.4,73.6
2017-05-07 14:37:03,46.3,73.6
2017-05-07 14:37:09,47.9,74.1
2017-05-07 14:37:14,43.1,74.1
2017-05-07 14:37:20,47.8,74.1
2017-05-07 14:37:25,48.3,74.1
2017-05-07 14:37:30,47.8,74.1
2017-05-07 14:37:36,43.7,74.1
2017-05-07 14:37:41,47.2,74.1
2017-05-07 14:37:47,48.7,74.1
2017-05-07 14:37:52,47.8,74.1
2017-05-07 14:37:58,47.1,74.1
2017-05-07 14:38:03,54.6,75.2
2017-05-07 14:38:09,47.1,75.2
2017-05-07 14:38:14,46.4,73.6
2017-05-07 14:38:20,48.4,74.1
2017-05-07 14:38:25,50.2,74.7
2017-05-07 14:38:31,46.6,74.1
2017-05-07 14:38:37,41.7,74.1
2017-05-07 14:38:42,48,74.1
2017-05-07 14:38:48,44.6,74.7
2017-05-07 14:38:53,47.8,74.7
2017-05-07 14:38:59,45.3,75.2
2017-05-07 14:39:04,46,75.2
